t[s],Bpos,Bspd,A[cm²],Mma[Å²],P1[mN/m],P2[mN/m],T[°C],SP[V],pH,AD[V]
0.03,0,0,783,,-0.0138,0,-262.41,,-0.35,0
1.12,0.138,10,782.6,,-0.007,0,-159.05,,-0.35,0
2.25,0.327,10,782.05,,-0.0354,0,15.31,,-0.35,0
3.25,0.497,10,781.56,,-0.0331,0,-82.92,,-0.35,0
4.25,0.663,10,781.08,,-0.0444,0,-245.5,,-0.35,0
5.38,0.851,10,780.53,,-0.0165,0,-483.82,,-0.35,0
6.5,1.038,10,779.99,,-0.0237,0,-441.85,,-0.35,0
7.63,1.226,10,779.45,,-0.0362,0,-489.16,,-0.35,0
8.75,1.414,10,778.9,,-0.0126,0,-403.57,,-0.35,0
9.87,1.601,10,778.36,,-0.0395,0,-186.04,,-0.35,0
10.99,1.788,10,777.81,,-0.0115,0,21.33,,-0.35,0
11.99,1.955,10,777.33,,-0.0313,0,-123.11,,-0.35,0
13.11,2.144,10,776.78,,-0.0035,0,-175.18,,-0.35,0
14.23,2.327,10,776.25,,-0.0169,0,-13.3,,-0.35,0
15.35,2.514,10,775.71,,-0.0382,0,-19.25,,-0.35,0
16.47,2.701,10,775.17,,-0.0158,0,-18.11,,-0.35,0
17.6,2.888,10,774.62,,0.0032,0,-93.19,,-0.35,0
18.72,3.077,10,774.08,,-0.0107,0,-96.22,,-0.35,0
19.84,3.264,10,773.53,,-0.0282,0,-308.2,,-0.35,0
20.96,3.451,10,772.99,,-0.0249,0,-340.48,,-0.35,0
21.96,3.618,10,772.51,,-0.0584,0,-367.15,,-0.35,0
22.97,3.786,10,772.02,,-0.0427,0,-185.7,,-0.35,0
23.97,3.955,10,771.53,,-0.0246,0,-93.48,,-0.35,0
25.09,4.142,10,770.99,,0.0147,0,103.08,,-0.35,0
26.21,4.331,10,770.44,,-0.0478,0,-1.22,,-0.35,0
27.34,4.518,10,769.9,,-0.0452,0,-193.36,,-0.35,0
28.47,4.706,10,769.35,,-0.0215,0,-300.83,,-0.35,0
29.59,4.892,10,768.81,,-0.0113,0,-212.43,,-0.35,0
30.6,5.059,10,768.33,,0.0058,0,-124.51,,-0.35,0
31.6,5.227,10,767.84,,-0.016,0,-286.83,,-0.35,0
32.72,5.414,10,767.3,,0.0091,0,-221.53,,-0.35,0
33.85,5.601,10,766.76,,-0.039,0,-194.9,,-0.35,0
34.85,5.768,10,766.27,,-0.014,0,-206,,-0.35,0
35.97,5.956,10,765.73,,-0.0221,0,-289.56,,-0.35,0
37.1,6.142,10,765.19,,-0.0281,0,-194.68,,-0.35,0
38.22,6.331,10,764.64,,-0.0231,0,-207.21,,-0.35,0
39.22,6.496,10,764.16,,-0.0317,0,-224.59,,-0.35,0
40.34,6.684,10,763.62,,0.0103,0,-155.35,,-0.35,0
41.47,6.877,10,763.06,,-0.0447,0,-106.42,,-0.35,0
42.59,7.064,10,762.51,,-0.0263,0,-154.78,,-0.35,0
43.6,7.23,10,762.03,,-0.0263,0,-66.91,,-0.35,0
44.6,7.397,10,761.55,,-0.0234,0,-17.59,,-0.35,0
45.6,7.564,10,761.06,,-0.0197,0,151.78,,-0.35,0
46.6,7.73,10,760.58,,0.017,0,123.2,,-0.35,0
47.72,7.918,10,760.04,,-0.0293,0,208.35,,-0.35,0
48.72,8.084,10,759.56,,-0.0835,0,66.21,,-0.35,0
49.84,8.273,10,759.01,,-0.0385,0,-21.76,,-0.35,0
50.97,8.46,10,758.47,,-0.0294,0,-16.47,,-0.35,0
52.09,8.647,10,757.92,,-0.0169,0,-63.84,,-0.35,0
53.21,8.834,10,757.38,,-0.0318,0,-217.88,,-0.35,0
54.21,9.001,10,756.9,,-0.0352,0,-183.12,,-0.35,0
55.34,9.188,10,756.35,,-0.0249,0,-79.46,,-0.35,0
56.46,9.375,10,755.81,,-0.0362,0,-19.14,,-0.35,0
57.58,9.562,10,755.27,,-0.0292,0,-167.35,,-0.35,0
58.71,9.751,10,754.72,,-0.0365,0,-202.31,,-0.35,0
