Temperature (°C) | Conversion
-----------------|------------
0                | 0.08
4                | 0.09
8                | 0.11
12               | 0.12
16               | 0.14
20               | 0.16
24               | 0.17
28               | 0.19
32               | 0.21
36               | 0.23
40               | 0.25
44               | 0.27
48               | 0.29
52               | 0.31
56               | 0.33
60               | 0.35
64               | 0.37
68               | 0.39
72               | 0.41
76               | 0.43
80               | 0.45
84               | 0.47
88               | 0.49
92               | 0.51
96               | 0.53
100              | 0.55
104              | 0.57
108              | 0.59
112              | 0.61
116              | 0.63
120              | 0.65
124              | 0.67
128              | 0.69
132              | 0.71
136              | 0.73
140              | 0.75
144              | 0.77
148              | 0.79
152              | 0.81
156              | 0.83
160              | 0.85
164              | 0.87
168              | 0.89
172              | 0.91
176              | 0.93
180              | 0.95
184              | 0.97
188              | 0.99
192              | 1.00
196              | 0.98
200              | 0.96
204              | 0.94
208              | 0.92
212              | 0.90
216              | 0.88
220              | 0.86
224              | 0.84
228              | 0.82
232              | 0.80
236              | 0.78
240              | 0.76
244              | 0.74
248              | 0.72
252              | 0.70
256              | 0.68
260              | 0.66
264              | 0.64
268              | 0.62
272              | 0.60
276              | 0.58
280              | 0.56
284              | 0.54
288              | 0.52
292              | 0.50
296              | 0.48
300              | 0.46
304              | 0.44
308              | 0.42
312              | 0.40
316              | 0.38
320              | 0.36
324              | 0.34
328              | 0.32
332              | 0.30
336              | 0.28
340              | 0.26
344              | 0.24
348              | 0.22
352              | 0.20
356              | 0.18
360              | 0.16
364              | 0.14
368              | 0.12
372              | 0.10
376              | 0.08
380              | 0.06
384              | 0.04
388              | 0.02
392              | 0.01
396              | 0.01
400              | 0.00
