Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\pla_ori_1030.pdid.pdid 
Operator ID:	 
Sample ID:	PLA 
Comment: 	pla_ori_1031 run 2 
Serial Number:	536N7042301 
Data Collected:	10/31/2023 11:33:23 AM 
Sample Weight:	19.900 mg 
Display Weight:	19.900 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\05-25-2023_DiamDSC_He-Cryo_1.pdic 
Date/Time:	 
Initial Conditions 
Temperature:	 0.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Fast     
Baseline Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\backgr2_1030.pdid.pdid 
End Condition:	Go To Load 
Total Points in Run:	3479 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Helium at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 0.00°C 
 
2)	Heat from 0.00°C to 220.00°C at 5.00°C/min 
 
3)	Hold for 1.0 min at 220.00°C 
 
4)	Cool from 220.00°C to 0.00°C at 20.00°C/min 
 
5)	Hold for 1.0 min at 0.00°C 
 
1) Diamond DSC Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	0.000000	0.699589	0.000000	0.000000	36.363000	0.000000	1.170320 
	0.016667	0.796024	0.000000	0.000000	36.221000	0.000000	1.170320 
	0.033333	0.894916	0.000000	0.000000	36.089000	0.000000	1.170320 
	0.050000	0.993808	0.000000	0.000000	35.963000	0.000000	1.170320 
	0.066667	1.091647	0.000000	0.000000	35.841000	0.000000	1.170320 
	0.083333	1.187964	0.000000	0.000000	35.725000	0.000000	1.170320 
	0.100000	1.283111	0.000000	0.000000	35.611000	0.000000	1.170320 
	0.116667	1.374747	0.000000	0.000000	35.507000	0.000000	1.170320 
	0.133333	1.461702	0.000000	0.000000	35.405000	0.000000	1.170320 
	0.150000	1.544209	0.000000	0.000000	35.308000	0.000000	1.170320 
	0.166667	1.622855	0.000000	0.000000	35.215000	0.000000	1.170320 
	0.183333	1.696702	0.000000	0.000000	35.125000	0.000000	1.170320 
	0.200000	1.767506	0.000000	0.000000	35.042000	0.000000	1.170320 
	0.216667	1.833746	0.000000	0.000000	34.960000	0.000000	1.170320 
	0.233333	1.896007	0.000000	0.000000	34.881000	0.000000	1.170320 
	0.250000	1.954289	0.000000	0.000000	34.807000	0.000000	1.170320 
	0.266667	2.008592	0.000000	0.000000	34.735000	0.000000	1.170320 
	0.283333	2.060086	0.000000	0.000000	34.665000	0.000000	1.170320 
	0.300000	2.108537	0.000000	0.000000	34.602000	0.000000	1.170320 
	0.316667	2.153829	0.000000	0.000000	34.544000	0.000000	1.170320 
	0.333333	2.196545	0.000000	0.000000	34.479000	0.000000	1.170320 
