,,,,,Angle,,,,Intensity
10,2184,1,,,10,632,1,,1552
10.02,2274,1,,,10.02,586,1,,1688
10.04,2308,1,,,10.04,631,1,,1677
10.06,2276,1,,,10.06,645,1,,1631
10.08,2281,1,,,10.08,631,1,,1650
10.1,2346,1,,,10.1,610,1,,1736
10.12,2293,1,,,10.12,642,1,,1651
10.14,2252,1,,,10.14,643,1,,1609
10.16,2244,1,,,10.16,609,1,,1635
10.18,2294,1,,,10.18,602,1,,1692
10.2,2264,1,,,10.2,655,1,,1609
10.22,2306,1,,,10.22,642,1,,1664
10.24,2285,1,,,10.24,641,1,,1644
10.26,2221,1,,,10.26,612,1,,1609
10.28,2150,1,,,10.28,670,1,,1480
10.3,2234,1,,,10.3,579,1,,1655
10.32,2161,1,,,10.32,655,1,,1506
10.34,2206,1,,,10.34,622,1,,1584
10.36,2233,1,,,10.36,611,1,,1622
10.38,2156,1,,,10.38,630,1,,1526
10.4,2208,1,,,10.4,611,1,,1597
10.42,2211,1,,,10.42,595,1,,1616
10.44,2177,1,,,10.44,614,1,,1563
10.46,2294,1,,,10.46,625,1,,1669
10.48,2228,1,,,10.48,622,1,,1606
10.5,2174,1,,,10.5,617,1,,1557
10.52,2229,1,,,10.52,630,1,,1599
10.54,2192,1,,,10.54,654,1,,1538
10.56,2199,1,,,10.56,639,1,,1560
10.58,2136,1,,,10.58,663,1,,1473
10.6,2182,1,,,10.6,632,1,,1550
10.62,2184,1,,,10.62,638,1,,1546
10.64,2168,1,,,10.64,661,1,,1507
10.66,2210,1,,,10.66,621,1,,1589
10.68,2277,1,,,10.68,625,1,,1652
10.7,2194,1,,,10.7,653,1,,1541
10.72,2198,1,,,10.72,666,1,,1532
10.74,2203,1,,,10.74,620,1,,1583
10.76,2305,1,,,10.76,658,1,,1647
10.78,2316,1,,,10.78,642,1,,1674
10.8,2332,1,,,10.8,684,1,,1648
10.82,2283,1,,,10.82,673,1,,1610
10.84,2332,1,,,10.84,623,1,,1709
